POI ID,POI NAME,Address 1,Address 2,CITY,STATE,PIN,Country,TEL,Lat,Lon
3,VAN HEUSEN STORE,  NO 194  BRIGADE ROAD  BANGALORE - 560001, ,BANGALORE,KARNATAKA,,,9.18026E+11,12.9726,77.6064
5,VAN HEUSEN STORE,  NO 116.23  BMP WARD NO 76  GARUDA MALL MAGRATH ROAD, BANGALORE - 560001 ,BANGALORE,KARNATAKA,,,9.18042E+11,12.97,77.61012
24,VAN HEUSEN STORE,  NO. 9  11TH MAIN  4TH BLOCK, JAYANAGAR  BANGALORE - 560011,BANGALORE,KARNATAKA,,,9.18042E+11,12.928,77.59062
30,VAN HEUSEN STORE,  NO.760  100 FT ROAD  HAL, 2 ND STAGE  INDIRANAGAR BANGALORE - 560095,BANGALORE,KARNATAKA,,,9.18042E+11,12.9726,77.6411
33,VAN HEUSEN STORE,  NO. 53  GROUND FLOOR  COMMERCIAL STREET, BANGALORE - 560001 ,BANGALORE,KARNATAKA,,,9.18026E+11,12.98267,77.60897
50,VAN HEUSEN STORE,  NO. 410  4TH MAIN  SAJID CENTER POINT, KAMANAHALLI MAIN ROAD  2ND BLOCK RBR LAYOUT BANGALORE - 560043,BANGALORE,KARNATAKA,,,9.18025E+11,13.039,77.638
76,VAN HEUSEN STORE,  NO. F.7  1ST FLOOR  NO.22  GOPALAN INNOVATION MALL, BANNERGHATTA ROAD  J.P NAGAR 3RD PHASE BANGALORE - 560076,BANGALORE,KARNATAKA,,,9.18041E+11,12.95875,77.55373
84,VAN HEUSEN STORE,  NO. G - 013  ROYAL MEENAKSHI MALL  BANNERGHATTA MAIN ROAD, BANGALORE - 560076 ,BANGALORE,KARNATAKA,,,9.18067E+11,12.886,77.595
104,VAN HEUSEN STORE,  26/1 SHOP NO UG-25 ORION MALL BRIGADE GATEWAY,SUBRAMANYA NAGAR MUNICIPAL WARD NO 9A  RAJAJINAGAR EXT BANGALORE-560010         ,BANGALORE,KARNATAKA,,,9.18023E+11,13.0119, 77.5552
109,VAN HEUSEN STORE,  SHOP NO F-06  PHOENIX MARKET CITY MALL  DYASANDRA PHASE-II, INDUSTRIAL AREA  KRISHNARAJAPURAM HOBLI BANGALORE - 560048                                     ,BANGALORE,KARNATAKA,,,9.18067E+11,13.0009, 77.6965
