POI Number,Store Name,ADDRESS1 ,ADDRESS 2,City,PINCODE,STATE,PHONE NUMBER
1,Titan Store,"4, MANTRIBARI ROAD",NEAR HEAD POST OFFICE,AGARTALA,799011,Tripura                                           ,+919998000000
2,Titan Store,"34/2, G-1/2",SANJAY PLACE,AGRA,282002,Uttarpradesh                                      ,+919998000000
3,Titan Store,"17-A, SADAR BAZAAR",AGRA,AGRA,282001,Uttarpradesh                                      ,+919998000000
4,Titan Store,"# 11. 12, 12A,MARIDIA PLAZA,","BESIDE ASSOCIATE PETROL PUMP,C.G. ROAD,",AHMEDABAD,380009,Gujarat                                           ,+919998000000
5,Titan Store,"55, CENTRE POINT",PANCHWATI,AHMEDABAD,380006,Gujarat                                           ,+919998000000
6,Titan Store,"Shop No-1,Ground Floor, Near Saffron restaurant, Kankaria","MANINAGAR, AHMEDABAD ",Ahmedabad,380008,Gujarat                                           ,+919998000000
7,Titan Store,"9-10, MAHARAJ COMPLEX","NEAR RELIEF CINEMA, RELIEF ROAD",AHMEDABAD,380001,Gujarat                                           ,+919998000000
8,Titan Store,SHOP NO.4 & 5 ,"AAROHI COMPLEX, VIJAY CROSS ROADS",AHMEDABAD,380009,Gujarat                                           ,+919998000000
9,Titan Store,"142-143,UPPER GROUND FLOOR,ISCON MALL","BESIDE ISCON TEMPLE,S.G.HIGHWAY",AHMEDABAD,380015,Gujarat                                           ,+919998000000
10,Titan Store,"Shop no 5, Ground Floor, Shivalik Arcade, ","Near Anandnagar Cross Road, 100 Ft ring road",Ahmedabad,380018,GUJARAT,+919998000000
11,Titan Store,"4/40 Vallabh Nagar, Opp. Tapan Hospital, ","Bapu Nagar Char Rasta,Bapu Nagar",AHMEDABAD,380024,Gujarat,+919998000000
12,Titan Store,"3720 A, NAVIPETH",STATION ROAD,AHMEDNAGAR,414001,Maharastra                                        ,+919998000000
13,Titan Store,"SHOP NO. 41,42,54,55, OPP. AKOLA MUNCIPAL CORPORATION,","MG ROAD,AKOLA",AKOLA,444001,Maharastra                                        ,+919998000000
14,Titan Store,C.C.N.BROAD,MULLAKKAL,ALAPPUZHA,688011,Kerala                                            ,+919998000000
15,Titan Store,"SHOP NO. 2 & 3, CENTRE PLACE",DANPUR PLACE,ALIGARH,202001,Uttarpradesh                                      ,+919998000000
16,Titan Store,"18-B/36, SARDAR PATEL NAGAR",CIVIL LINES,ALLAHABAD,211001,Uttarpradesh                                      ,+919998000000
17,Titan Store,"BALAJI COMPLEX MARKET,","SAROJ CHOWK, JAWAHAR ROAD,",AMRAVATI,444601,Maharastra                                        ,+919998000000
18,Titan Store,"Shop No 21 First Floor,","ALPHA ONE MALL, G.T.ROAD, AMRITSTAR",AMRITSAR,143001,Punjab                                            ,+919998000000
19,Titan Store,117,MALL ROAD,AMRITSAR,143001,Punjab                                            ,+919998000000
20,Titan Store,"G-11/12, SANKET COMPLEX",NEAR GRID,ANAND,388001,Gujarat                                           ,+919998000000
21,Titan Store,"Dr. No:  15/603,Vasavi Complex,","Raju Road,",ANANTHPUR,515001,ANDHRA PRADESH,+919998000000
22,Titan Store,"G-24, Prozone Mall, Chikalthana Indusrial Area",Near Api Corner,Aurangabad,431210,Maharastra                                        ,+919998000000
23,Titan Store,KHATOD COMPLEX ,"NIRALA BAZAR ROAD, AURANGAPURA",AURANGABAD,431001,Maharastra                                        ,+919998000000
24,Titan Store,"NO.8, PRABHAT COMPLEX","KG Road, Opp. Bhumika Theatre,",BANGALORE,560009,Karnataka                                         ,+919998000000
25,Titan Store,"21/22, SAFINA PLAZA                                ","Infantry Road, Bangalore",BANGALORE,560001,Karnataka                                         ,+919998000000
26,Titan Store,"Titan Studio, Brigade Orion, Shop No. 26A, 26/1, "," 80 Feet Road, Malleshwaram, ",BANGALORE,560055,Karnataka                                         ,+919998000000
27,Titan Store,"SAHAKARNAGAR, OPP TO BBMP, BYATARANAPURA SIGNAL","BELLARY ROAD,",Bangalore, 560 092,Karnataka                                         ,+919998000000
28,Titan Store,"U G 78 , First floor,","Mantri square , Malleshwaram.",BANGALORE,560003,Karnataka                                         ,+919998000000
29,Titan Store,"OUTER RING ROAD,","( OPP. INNOVATIVE MULTIPLEX), MARATHAHALLI",BANGALORE,560037,Karnataka                                         ,+919998000000
30,Titan Store,"26, CMH ROAD",INDIRANAGAR 2ND STAGE,BANGALORE,560038,Karnataka                                         ,+919998000000
31,Titan Store,"80 FT ROAD,( OPP. RELIANCE COMM)",BASAVESWARANAGAR,BANGALORE,560079,Karnataka                                         ,+919998000000
32,Titan Store,"Shop no 111, first floor,","GARUDA MALL,MAGRATH ROAD",BANGALORE,560025,Karnataka                                         ,+919998000000
33,Titan Store,"PHOENIX MARKET CITY, F-42, WHITEFIELD ROAD,","OPP.MAHADEVAPURA CMC, Mahadevapura Post",BANGALORE,560048,Karnataka                                         ,+919998000000
34,Titan Store,"G11 , Ground floor, Gopalan arcade ,","Rajarajeshwari Nagar, Mysore Road, ",BANGALORE,560098,Karnataka                                         ,+919998000000
35,Titan Store,"G-2,2934E,2935 E MAIN ROAD","NEXT TO FOOD WORLD,VIJAYNAGAR, 2ND STAGE",BANGALORE,560040,Karnataka                                         ,+919998000000
36,Titan Store,BUSY PLAZA,"8TH CROSS, MALLESHWARAM",BANGALORE,560003,Karnataka                                         ,+919998000000
37,Titan Store,"G-1, G.R.PLAZA, 142, D.V.G.ROAD","GANDHI BAZAR, BASAVANAGUDI",BANGALORE,560004,Karnataka                                         ,+919998000000
38,Titan Store,"NO. 5/22, 1ST MAIN, KHM BLOCK,GANGANAGAR,","(80FT ROAD, RT NAGAR),(OPP. ICICI BANK, RT NAGAR BRANCH),",BANGALORE,560032,Karnataka                                         ,+919998000000
39,Titan Store,GOPALA KRISHNA ARCADE,"NO - 39, 11TH MAIN ROAD, JAYANAGAR 4TH BLOCK, ",BANGALORE,560011,Karnataka                                         ,+919998000000
40,Titan Store,RAGHAVENDRA COMPLEX,"JAYANAGAR 4TH BLOCK, 10TH MAIN",BANGALORE,560011,Karnataka                                         ,+919998000000
