POI ID,POI_Name,Address1,Address2,City,State,PIN,Country,Tel,Lat,Lon
1,Titan Store,ABOVE BARISTA,FC ROAD,PUNE,MAHARASTRA,411004,India,9999999999,18.51827,73.841587
2,Titan Store,NEXT TO MC DONALDS,KAMALANAGAR,NEW DELHI,DELHI,110007,India,9999999999,28.681004,77.207824
3,Titan Store,NEAR VASANTHA BHAVAN HOTEL,ANNA NAGAR,CHENNAI,TAMILNADU,600040,India,9999999999,13.083222,80.217815
4,Titan Store,OPP TANISHQ,DWARAKA NAGAR,VISHAKAPATNAM,ANDHRA PRADESH,530016,India,9999999999,17.725896,83.306341
5,Titan Store,OPP SAPNA BOOK HOUSE,KORMANGALA,BANGALORE,KARNATAKA,560095,India,9999999999,12.936532,77.616072
6,Titan Store,3rd BLOCK,JAYANAGAR,BANGALORE,KARNATAKA,560011,India,9999999999,12.930927,77.584046
7,Titan Store,BESIDE CANARA BANK ATM,BEL ROAD,BANGALORE,KARNATAKA,560054,India,9999999999,13.036262,77.566365
8,Titan Store,NEAR DURGA CAFÉ,KOTHRUD,PUNE,MAHARASTRA,411038,India,9999999999,18.50146,73.74395
9,Titan Store,NEAR JANPATH,SRIYA TALKIES SQUARE,BHUBHANESHWAR,ORISSA,751001,India,9999999999,20.27479,85.84342
10,Titan Store,GOKHALE ROAD,NAUPADA,THANE-WEST,MAHARASTRA,400602,India,9999999999,19.18787,72.97287
12,Titan Store,OPP. TO BYK COLLEGE,COLLEGE ROAD,NASIK,MAHARASTRA,422002,India,9999999999,20.00611,73.76283
13,Titan Store,BESIDE HYDERABAD HOUSE,HIMAYAT NAGAR,HYDERABAD,ANDHRA PRADESH,500029,India,9999999999,17.40085,78.48778
14,Titan Store,ZONE 1,MP NAGAR CIRCLE,BHOPAL,MADHYA PRADESH,462016,India,9999999999,23.233437,77.434014
15,Titan Store,OPP LEVIS SHOWROOM,KAMARAJ ROAD,BANGALORE,KARNATAKA,560001,India,9999999999,12.98111,77.60995
